date,PCE Price Index Period Chg,Core PCE (Less Food & Energy) Period Chg
2006-08-01,0.31,0.2
2006-09-01,-0.26,0.16
2006-10-01,-0.24,0.18
2006-11-01,0.03,0.05
2006-12-01,0.36,0.13
2007-01-01,0.33,0.41
2007-02-01,0.31,0.22
2007-03-01,0.37,0.1
2007-04-01,0.24,0.14
2007-05-01,0.29,0.12
2007-06-01,0.21,0.17
2007-07-01,0.15,0.15
2007-08-01,0.07,0.15
2007-09-01,0.39,0.27
2007-10-01,0.3,0.26
2007-11-01,0.53,0.2
2007-12-01,0.23,0.2
2008-01-01,0.25,0.2
2008-02-01,0.2,0.1
2008-03-01,0.29,0.2
2008-04-01,0.19,0.06
2008-05-01,0.43,0.18
2008-06-01,0.73,0.23
2008-07-01,0.47,0.18
2008-08-01,-0.08,0.12
2008-09-01,0.08,0.1
2008-10-01,-0.66,-0.14
2008-11-01,-1.18,-0.04
2008-12-01,-0.56,-0.05
2009-01-01,0.01,-0.03
2009-02-01,0.18,0.08
2009-03-01,-0.11,0.07
2009-04-01,0.14,0.22
2009-05-01,0.1,0.08
2009-06-01,0.59,0.13
2009-07-01,0.01,0.09
2009-08-01,0.29,0.15
2009-09-01,0.16,0.18
2009-10-01,0.38,0.37
2009-11-01,0.25,0.09
2009-12-01,0.06,0.09
2010-01-01,0.22,0.15
2010-02-01,0.0,0.09
2010-03-01,0.14,0.15
2010-04-01,0.05,0.05
2010-05-01,0.03,0.11
2010-06-01,-0.04,0.05
2010-07-01,0.09,0.0
2010-08-01,0.14,0.1
2010-09-01,0.1,0.06
2010-10-01,0.32,0.15
2010-11-01,0.2,0.13
2010-12-01,0.23,0.02
2011-01-01,0.3,0.21
2011-02-01,0.28,0.17
2011-03-01,0.4,0.15
2011-04-01,0.42,0.23
2011-05-01,0.3,0.24
2011-06-01,-0.02,0.11
2011-07-01,0.17,0.15
2011-08-01,0.24,0.2
2011-09-01,0.14,0.07
2011-10-01,0.0,0.05
2011-11-01,0.2,0.21
2011-12-01,0.06,0.17
2012-01-01,0.34,0.3
2012-02-01,0.22,0.14
2012-03-01,0.19,0.17
2012-04-01,0.13,0.15
2012-05-01,-0.11,0.1
2012-06-01,-0.05,0.1
2012-07-01,0.04,0.1
2012-08-01,0.34,0.06
2012-09-01,0.3,0.12
2012-10-01,0.3,0.24
2012-11-01,-0.07,0.11
2012-12-01,-0.02,0.07
2013-01-01,0.19,0.2
2013-02-01,0.36,0.11
2013-03-01,-0.13,0.09
2013-04-01,-0.1,0.05
2013-05-01,0.07,0.12
2013-06-01,0.22,0.17
2013-07-01,0.12,0.13
2013-08-01,0.15,0.11
2013-09-01,0.04,0.12
2013-10-01,0.13,0.17
2013-11-01,0.15,0.17
2013-12-01,0.17,0.11
2014-01-01,0.21,0.11
2014-02-01,0.05,0.05
2014-03-01,0.16,0.15
2014-04-01,0.18,0.17
2014-05-01,0.16,0.17
2014-06-01,0.11,0.11
2014-07-01,0.14,0.17
2014-08-01,-0.01,0.04
