date,Median Household Income (current $) Period Chg,Real Median Household Income (2024 $) Period Chg,Average Hourly Earnings (Total Private) Period Chg,Real Disposable Personal Income Per Capita Period Chg
2003-07-01,,,,1.12
2003-08-01,,,,0.6
2003-09-01,,,,-1.22
2003-10-01,,,,0.3
2003-11-01,,,,0.53
2003-12-01,,,,0.01
2004-01-01,2.33,-0.16,,-0.12
2004-02-01,,,,0.12
2004-03-01,,,,0.34
2004-04-01,,,,0.26
2004-05-01,,,,0.42
2004-06-01,,,,-0.02
2004-07-01,,,,0.14
2004-08-01,,,,0.22
2004-09-01,,,,-0.04
2004-10-01,,,,-0.06
2004-11-01,,,,-0.4
2004-12-01,,,,3.59
2005-01-01,4.51,1.56,,-3.78
2005-02-01,,,,-0.04
2005-03-01,,,,0.29
2005-04-01,,,,0.24
2005-05-01,,,,0.35
2005-06-01,,,,0.12
2005-07-01,,,,0.02
2005-08-01,,,,0.07
2005-09-01,,,,-0.44
2005-10-01,,,,0.47
2005-11-01,,,,0.55
2005-12-01,,,,0.23
2006-01-01,4.04,1.11,,0.94
2006-02-01,,,,0.37
2006-03-01,,,,0.31
2006-04-01,,,0.65,-0.1
2006-05-01,,,-0.2,-0.14
2006-06-01,,,0.45,0.05
2006-07-01,,,0.35,-0.13
2006-08-01,,,0.15,-0.17
2006-09-01,,,0.39,0.45
2006-10-01,,,0.1,0.37
2006-11-01,,,0.34,0.33
2006-12-01,,,0.44,0.4
2007-01-01,4.21,1.61,0.05,-0.09
2007-02-01,,,0.44,0.26
2007-03-01,,,0.19,0.25
2007-04-01,,,0.34,0.07
2007-05-01,,,0.24,-0.02
2007-06-01,,,0.53,-0.14
2007-07-01,,,-0.05,0.02
2007-08-01,,,0.29,-0.05
2007-09-01,,,0.19,0.07
2007-10-01,,,0.1,-0.16
2007-11-01,,,0.28,-0.17
2007-12-01,,,0.19,0.34
2008-01-01,0.14,-3.41,0.14,0.07
2008-02-01,,,0.38,-0.03
2008-03-01,,,0.42,-0.04
2008-04-01,,,0.09,-0.44
2008-05-01,,,0.42,4.84
2008-06-01,,,0.23,-2.59
2008-07-01,,,0.37,-1.6
2008-08-01,,,0.46,-0.64
2008-09-01,,,0.14,0.15
2008-10-01,,,0.14,0.67
2008-11-01,,,0.46,0.79
2008-12-01,,,0.41,-0.53
2009-01-01,-1.03,-0.64,0.05,0.53
2009-02-01,,,0.09,-1.03
2009-03-01,,,0.32,-0.06
2009-04-01,,,0.23,0.56
2009-05-01,,,0.09,1.39
2009-06-01,,,0.09,-1.89
2009-07-01,,,0.18,-0.52
2009-08-01,,,0.23,-0.28
2009-09-01,,,0.18,0.21
2009-10-01,,,0.18,-0.39
2009-11-01,,,0.13,0.18
2009-12-01,,,0.13,0.39
2010-01-01,-1.0,-2.35,0.13,-0.02
2010-02-01,,,0.27,-0.02
2010-03-01,,,0.0,0.33
2010-04-01,,,0.13,0.8
2010-05-01,,,0.09,0.69
2010-06-01,,,0.09,-0.03
2010-07-01,,,0.27,0.01
2010-08-01,,,0.13,0.22
2010-09-01,,,0.22,-0.09
2010-10-01,,,0.26,-0.05
2010-11-01,,,0.0,0.03
2010-12-01,,,0.13,0.54
2011-01-01,1.56,-1.48,0.48,0.41
2011-02-01,,,0.0,0.23
2011-03-01,,,0.0,-0.32
2011-04-01,,,0.17,-0.23
2011-05-01,,,0.26,-0.19
2011-06-01,,,0.13,0.34
2011-07-01,,,0.48,0.31
2011-08-01,,,-0.22,-0.12
2011-09-01,,,0.22,-0.21
2011-10-01,,,0.3,0.01
2011-11-01,,,0.04,-0.13
2011-12-01,,,0.13,0.84
2012-01-01,1.94,-0.01,0.17,0.48
2012-02-01,,,0.09,0.42
2012-03-01,,,0.34,0.23
2012-04-01,,,0.13,0.32
2012-05-01,,,0.09,-0.09
2012-06-01,,,0.21,-0.18
2012-07-01,,,0.13,-0.81
2012-08-01,,,-0.04,-0.37
2012-09-01,,,0.38,0.63
2012-10-01,,,-0.04,0.61
2012-11-01,,,0.3,1.26
2012-12-01,,,0.38,2.39
2013-01-01,5.04,3.78,0.08,-5.89
2013-02-01,,,0.17,-0.29
2013-03-01,,,0.08,0.24
2013-04-01,,,0.29,0.27
2013-05-01,,,0.08,0.41
2013-06-01,,,0.29,-0.05
2013-07-01,,,0.08,-0.18
2013-08-01,,,0.17,0.14
2013-09-01,,,0.17,0.37
2013-10-01,,,0.12,-0.48
2013-11-01,,,0.29,0.12
2013-12-01,,,0.08,0.09
2014-01-01,0.13,-1.27,0.17,0.4
2014-02-01,,,0.45,0.47
2014-03-01,,,-0.08,0.49
2014-04-01,,,0.12,0.32
2014-05-01,,,0.25,0.26
2014-06-01,,,0.25,0.29
2014-07-01,,,0.08,0.12
2014-08-01,,,0.25,0.36
2014-09-01,,,0.08,0.22
2014-10-01,,,0.12,0.4
2014-11-01,,,0.28,0.48
2014-12-01,,,-0.12,0.63
2015-01-01,5.33,5.4,0.45,0.52
2015-02-01,,,0.2,0.31
2015-03-01,,,0.24,-0.32
2015-04-01,,,0.16,0.16
2015-05-01,,,0.32,0.11
2015-06-01,,,0.0,-0.01
2015-07-01,,,0.16,0.16
2015-08-01,,,0.36,0.14
2015-09-01,,,0.04,0.19
2015-10-01,,,0.36,0.1
2015-11-01,,,0.2,-0.09
2015-12-01,,,0.0,0.41
2016-01-01,4.46,3.56,0.48,0.37
2016-02-01,,,0.04,0.05
2016-03-01,,,0.28,-0.06
2016-04-01,,,0.31,-0.27
2016-05-01,,,0.2,-0.14
2016-06-01,,,0.16,0.0
2016-07-01,,,0.27,0.32
2016-08-01,,,0.08,0.05
2016-09-01,,,0.23,0.16
2016-10-01,,,0.5,0.12
2016-11-01,,,0.0,0.21
2016-12-01,,,0.12,0.23
2017-01-01,3.56,1.76,0.27,0.37
2017-02-01,,,0.27,0.25
2017-03-01,,,0.15,0.37
2017-04-01,,,0.27,0.18
2017-05-01,,,0.11,0.64
2017-06-01,,,0.19,-0.0
2017-07-01,,,0.34,0.22
2017-08-01,,,0.08,0.06
2017-09-01,,,0.46,0.13
2017-10-01,,,0.04,0.23
2017-11-01,,,0.15,0.1
2017-12-01,,,0.34,0.14
2018-01-01,3.34,1.29,0.34,0.56
2018-02-01,,,0.07,0.2
2018-03-01,,,0.41,0.32
2018-04-01,,,0.22,0.17
2018-05-01,,,0.26,0.29
2018-06-01,,,0.19,0.36
2018-07-01,,,0.26,0.38
2018-08-01,,,0.41,0.3
2018-09-01,,,0.4,-0.06
2018-10-01,,,0.18,0.19
2018-11-01,,,0.26,0.22
2018-12-01,,,0.44,1.21
2019-01-01,8.74,7.16,0.11,0.16
2019-02-01,,,0.36,0.13
2019-03-01,,,0.29,0.0
2019-04-01,,,0.07,-0.24
2019-05-01,,,0.32,-0.05
2019-06-01,,,0.32,0.14
2019-07-01,,,0.21,0.07
2019-08-01,,,0.39,0.48
2019-09-01,,,0.07,0.16
2019-10-01,,,0.28,0.08
2019-11-01,,,0.35,0.27
2019-12-01,,,0.14,-0.57
2020-01-01,-1.0,-2.02,0.18,0.98
2020-02-01,,,0.39,0.34
2020-03-01,,,0.67,-1.29
2020-04-01,,,4.56,14.7
2020-05-01,,,-1.07,-5.03
2020-06-01,,,-1.14,-0.36
2020-07-01,,,0.03,0.88
2020-08-01,,,0.34,-3.86
2020-09-01,,,0.07,0.53
