date,CPI All Urban Consumers YoY %,CPI Less Food & Energy (Core) YoY %,CPI Food & Beverages YoY %,CPI Energy YoY %,CPI Shelter YoY %,CPI Medical Care YoY %,CPI Transportation YoY %,CPI Apparel YoY %,CPI Education & Communication YoY %
1973-08-01,7.3986,3.1603,18.0974,7.6923,3.8462,3.4759,3.0,4.6774,
1973-09-01,7.3634,3.8375,17.0115,6.5217,5.1282,4.0107,2.2388,4.32,
1973-10-01,8.0569,4.2793,17.1625,9.3863,6.3939,4.7619,3.2419,4.1401,
1973-11-01,8.2547,4.7297,17.9954,12.9032,6.6327,5.0265,3.7221,4.2857,
1973-12-01,8.9412,4.7085,18.5941,16.9065,7.1247,5.277,4.4554,4.4304,
1974-01-01,9.6019,5.157,18.0804,22.2222,7.6142,5.5263,5.9406,4.9051,
1974-02-01,10.0,5.3571,18.6813,25.5319,8.1013,5.7743,6.8966,5.6782,
1974-03-01,10.1382,5.7778,17.2043,30.3887,8.5859,6.5445,8.5995,5.7994,
1974-04-01,10.0686,6.2084,15.2542,31.4685,8.8161,7.0496,9.0244,6.2305,
1974-05-01,10.7062,7.064,14.6444,32.9861,9.0226,7.5325,10.4878,6.677,
1974-06-01,10.8597,7.9295,13.6646,32.1918,9.75,9.0674,11.4078,7.1207,
1974-07-01,11.5385,8.7912,13.2231,33.2192,10.7232,10.3627,12.6214,7.5851,
1974-08-01,10.8889,9.8468,9.0373,33.3333,10.8642,11.6279,13.1068,9.0909,
1974-09-01,11.9469,10.2174,11.1984,33.6735,10.9756,12.3393,14.3552,8.8957,
1974-10-01,11.8421,10.5832,11.7188,29.3729,10.5769,11.3636,14.2512,8.8685,
1974-11-01,12.2004,10.9677,11.7761,25.0794,10.7656,11.8388,13.8756,9.1324,
