date,Unemployment Rate Period %,U-1 Unemployed 15+ Weeks as % of Labor Force Period %,U-2 Job Losers as % of Labor Force Period %,U-4 + Discouraged Workers Period %,U-5 + Other Marginally Attached Period %,U-6 + Part-Time for Economic Reasons Period %,Unemployed Less Than 5 Weeks (000s) Period %,Unemployed 5-14 Weeks (000s) Period %,Unemployed 15-26 Weeks (000s) Period %,Unemployed 27+ Weeks (000s) Period %,Total Unemployed (000s) Period %,Median Duration of Unemployment (Weeks) Period %,Average Duration of Unemployment (Weeks) Period %
1965-01-01,-2.0,-8.3333,,,,,-2.7512,3.3113,-9.009,-9.324,-2.1638,,-3.937
1965-02-01,4.0816,9.0909,,,,,7.1956,-0.1832,25.495,5.9126,4.4233,,3.2787
1965-03-01,-7.8431,-8.3333,,,,,-2.3523,-5.5963,-13.8067,-12.8641,-5.8981,,-4.7619
1965-04-01,2.1277,0.0,,,,,2.6439,-1.069,-2.0595,2.507,2.4217,,-5.0
1965-05-01,-4.1667,-9.0909,,,,,-4.4076,2.4558,-10.0467,-4.6196,-4.5341,,-2.6316
1965-06-01,0.0,10.0,,,,,-0.8383,-3.2598,8.3117,5.1282,-1.3112,,4.5045
1965-07-01,-4.3478,-18.1818,,,,,-0.1208,-4.9554,-13.9089,-12.1951,-2.5391,,0.0
1965-08-01,0.0,11.1111,,,,,-2.4788,-1.9812,13.0919,0.9259,-1.4238,,2.5862
1965-09-01,-2.2727,0.0,,,,,0.8679,-8.5106,-7.3892,8.8685,-1.1678,,0.0
1965-10-01,-2.3256,-10.0,,,,,-5.7775,6.9767,-10.6383,-5.618,-2.2699,,1.6807
1965-11-01,-2.381,0.0,,,,,-0.1305,-2.7174,-0.5952,-7.4405,-2.2272,,-3.3058
1965-12-01,-2.439,0.0,,,,,-6.2051,-4.2458,9.5808,-5.7878,-1.3667,,-2.5641
1966-01-01,0.0,-11.1111,,,,,6.0585,-9.3349,-9.0164,-1.0239,-1.4187,,4.386
1966-02-01,-5.0,0.0,,,,,-1.1819,-2.4453,-2.7027,-6.8966,-5.6225,,-5.8824
