date,Total Housing Starts Period %,Single-Family Starts Period %,2-4 Unit Starts Period %,5+ Unit Starts Period %,Starts - Northeast Period %,Starts - Midwest Period %,Starts - South Period %,Starts - West Period %
1980-02-01,0.67,-13.94,-14.04,54.36,-44.1,20.1,9.89,-6.21
1980-03-01,-22.44,-21.76,-4.08,-27.77,27.78,-26.78,-28.01,-21.39
1980-04-01,0.38,1.9,14.89,-6.88,6.09,-8.57,2.62,-0.38
1980-05-01,-11.8,1.71,-25.0,-36.24,-6.56,-18.12,-7.66,-18.46
1980-06-01,29.02,17.68,2.47,79.47,16.67,41.98,33.62,17.45
1980-07-01,6.1,11.01,-3.61,-2.64,-9.77,3.23,6.53,15.66
1980-08-01,13.16,15.75,67.5,-6.63,9.17,10.94,6.28,32.29
1980-09-01,2.44,2.72,4.48,0.65,21.37,38.97,-5.77,-9.19
1980-10-01,3.54,-0.98,-15.71,26.92,-28.93,-8.78,18.06,0.87
1980-11-01,-0.85,-1.59,16.95,-4.29,0.88,11.11,-8.09,5.73
1980-12-01,-1.85,-5.84,-8.7,11.08,15.79,-14.0,7.43,-15.72
1981-01-01,4.39,1.07,8.73,10.45,15.91,14.73,2.3,-3.86
1981-02-01,-19.46,-14.71,-18.98,-29.25,-36.6,-33.11,-14.52,-10.37
1981-03-01,4.82,5.71,-0.9,4.56,35.05,16.67,-0.88,-0.37
1981-04-01,4.13,6.46,-13.64,4.07,-6.11,-12.55,5.91,19.1
1981-05-01,-16.18,-16.65,12.63,-22.63,-2.44,-12.87,-18.83,-17.61
1981-06-01,-8.33,-7.94,-14.95,-6.86,-15.83,-10.23,-6.7,-7.25
1981-07-01,-0.38,0.29,-10.99,1.55,48.51,4.43,-8.84,-4.94
1981-08-01,-9.7,-12.46,-6.17,-3.44,-30.0,-12.73,-3.43,-7.79
1981-09-01,-3.09,3.93,-21.05,-14.62,7.62,-13.89,-0.42,-7.04
1981-10-01,-4.17,-17.64,38.33,23.61,-0.88,20.97,-18.28,12.12
1981-11-01,-4.12,2.87,-1.2,-18.73,-20.54,-16.0,17.99,-26.58
1981-12-01,8.72,4.65,-7.32,24.88,25.84,4.76,5.66,11.04
1982-01-01,-7.36,-1.07,-7.89,-20.3,-41.07,-15.91,3.71,-9.94
1982-02-01,2.73,-2.87,12.86,13.89,57.58,-27.93,6.16,-9.2
1982-03-01,7.51,12.57,-12.66,2.85,8.65,26.25,-1.31,28.38
1982-04-01,-1.5,-3.78,-10.14,6.32,-11.5,60.4,-6.26,-15.26
1982-05-01,11.78,3.07,46.77,22.68,23.0,-11.11,15.38,16.77
1982-06-01,-12.0,1.49,-6.59,-38.18,-24.39,5.56,-19.12,4.26
1982-07-01,29.27,4.24,8.24,113.24,15.05,0.0,53.8,1.02
1982-08-01,-10.29,2.35,-5.43,-29.89,10.28,5.92,-19.32,-1.52
1982-09-01,9.37,5.35,4.6,19.34,26.27,-13.04,9.62,16.92
1982-10-01,2.53,6.97,-21.98,0.27,-27.52,17.14,2.39,13.6
1982-11-01,16.97,17.37,11.27,17.26,40.74,12.8,23.21,-5.79
1982-12-01,-5.03,-0.35,2.53,-15.89,-15.79,-16.22,-9.23,23.77
1983-01-01,21.72,21.35,22.22,22.5,9.38,30.97,32.03,-2.32
1983-02-01,7.12,-0.38,14.14,23.36,73.57,24.63,-8.86,14.92
1983-03-01,-5.47,-4.22,-10.62,-6.8,-14.81,-19.76,-1.62,2.06
1983-04-01,-8.34,-0.3,5.94,-27.02,-24.15,-1.97,-6.12,-8.09
1983-05-01,20.65,14.57,-6.54,44.86,7.01,12.06,23.56,25.47
1983-06-01,-2.42,-1.67,24.0,-8.96,-3.57,-6.73,-4.77,6.27
1983-07-01,3.0,-5.08,6.45,20.7,6.79,12.02,1.6,0.24
1983-08-01,7.0,8.55,-18.18,9.85,12.14,1.72,9.33,2.59
1983-09-01,-10.47,-8.23,11.11,-18.08,-26.29,-5.06,-8.53,-11.01
1983-10-01,0.29,-2.36,-15.0,9.06,9.79,-9.78,1.68,-0.77
1983-11-01,4.08,6.86,29.41,-5.36,0.64,8.37,0.93,11.17
1983-12-01,-5.43,-8.05,-6.06,0.0,-4.43,-8.18,-2.35,-11.45
1984-01-01,12.38,19.67,-8.06,3.47,18.54,36.63,-5.54,42.22
1984-02-01,19.14,15.04,29.82,25.8,46.93,11.23,31.45,-6.68
1984-03-01,-26.42,-25.29,-8.78,-32.3,-38.78,-27.04,-29.32,-12.72
1984-04-01,11.3,7.46,14.07,18.88,18.01,4.46,13.59,7.97
1984-05-01,-4.16,-2.14,-26.62,-2.09,-4.21,3.85,-6.3,-3.8
1984-06-01,3.89,-1.27,-1.77,15.15,20.88,15.23,3.14,-7.46
1984-07-01,-6.02,-7.37,9.01,-6.35,-11.36,-16.07,-4.02,-0.95
1984-08-01,-8.43,-3.88,-9.92,-15.7,-4.62,-5.96,-12.22,-3.59
1984-09-01,7.06,7.34,1.83,7.65,9.14,9.95,4.9,8.68
1984-10-01,-6.36,-3.47,0.0,-13.11,3.94,-7.0,-7.99,-7.76
1984-11-01,6.23,9.58,6.31,-0.84,20.85,8.41,-0.4,9.65
1984-12-01,-4.56,-0.09,-1.69,-15.64,-8.63,-6.12,8.58,-23.48
1985-01-01,6.14,-9.94,-12.93,55.89,-6.44,2.61,-6.17,46.61
1985-02-01,-4.62,9.01,-9.9,-25.4,3.21,-33.47,2.5,-5.23
1985-03-01,10.29,4.64,12.09,23.06,6.67,74.52,6.68,-3.4
1985-04-01,1.17,-2.13,7.84,6.48,13.75,-13.5,-1.2,7.69
1985-05-01,-7.74,-6.89,-4.55,-9.87,-12.82,7.17,-9.74,-8.78
1985-06-01,-0.24,0.19,-9.52,0.73,13.45,-6.69,-0.94,-2.68
