date,New Single-Family Homes Sold (SAAR) Period %,Median Sales Price - New Homes Period %,Average Sales Price - New Homes Period %,Months Supply of New Houses Period %,New Houses For Sale (SAAR) Period %
1990-12-01,-5.8824,6.8124,7.0482,3.6585,-2.1341
1991-01-01,-13.5776,-7.1654,-3.1291,10.5882,-1.8692
1991-02-01,20.1995,1.6964,-0.5384,-15.9574,-0.3175
1991-03-01,5.1867,2.1685,5.8187,-7.5949,-1.9108
1991-04-01,0.1972,-1.2245,-3.5806,0.0,-1.9481
1991-05-01,1.7717,-4.1322,-3.5809,-4.1096,-1.3245
1991-06-01,-0.1934,2.5862,0.3439,0.0,-1.0067
1991-07-01,-0.969,0.8403,1.5764,1.4286,-0.339
1991-08-01,2.9354,0.6667,-4.3185,-4.2254,-1.0204
1991-09-01,-7.4144,-0.6623,3.8787,8.8235,0.0
1991-10-01,7.5975,2.1667,0.0679,-9.4595,-0.6873
1991-11-01,9.7328,-3.3442,-3.867,-7.4627,-0.692
1991-12-01,-2.9565,2.9536,0.9174,0.0,-1.0453
1992-01-01,21.147,-1.6393,0.8392,-16.129,-1.0563
1992-02-01,-5.4734,-2.3333,0.4161,-5.7692,-4.2705
1992-03-01,-13.4585,2.3891,0.0,24.4898,3.7175
1992-04-01,-1.2658,0.0,0.1381,0.0,-1.7921
1992-05-01,1.4652,-5.8333,0.6897,-1.6393,-0.365
1992-06-01,7.5812,10.177,0.411,-6.6667,0.0
1992-07-01,5.2013,-5.2209,-6.0709,-5.3571,-0.7326
1992-08-01,1.4354,4.661,5.5192,-1.8868,-0.738
1992-09-01,2.2013,-3.2389,-2.1335,-3.8462,-1.487
1992-10-01,-4.4615,4.6025,4.3601,2.0,-0.3774
1992-11-01,-1.1272,3.12,-0.8086,5.8824,-0.7576
1992-12-01,5.8632,-2.2498,-0.6793,-7.4074,1.145
1993-01-01,-8.3077,-6.3492,-4.9932,8.0,0.3774
1993-02-01,1.3423,9.661,7.5594,-1.8519,0.3759
1993-03-01,-0.3311,-3.4003,-1.8742,1.8868,1.1236
1993-04-01,16.4452,1.6,1.2278,-12.963,0.7407
1993-05-01,-10.699,2.2835,2.628,12.766,1.1029
1993-06-01,4.3131,-4.157,-4.3336,-1.8868,0.0
1993-07-01,0.3063,-0.4819,-1.5786,1.9231,1.0909
1993-08-01,-1.5267,2.1792,5.0209,3.7736,2.8777
1993-09-01,12.5581,2.2117,-0.332,-10.9091,0.3497
1993-10-01,-3.0303,-3.4003,-2.1319,2.0408,1.0453
1993-11-01,9.233,4.0,3.8121,-4.0,1.0345
1993-12-01,5.5917,-3.8462,-4.0,-6.25,0.0
1994-01-01,-23.7685,0.8,4.7814,31.1111,0.3413
1994-02-01,10.8239,3.0952,-1.7601,-15.2542,0.3401
1994-03-01,8.8921,1.8476,1.3935,-4.0,1.0169
1994-04-01,-7.3628,-2.4943,0.0654,8.3333,-0.3356
1994-05-01,-0.1445,0.6977,-0.7194,1.9231,1.6835
1994-06-01,-10.1302,2.7714,4.3478,16.9811,4.3046
1994-07-01,1.1272,-6.8165,-8.8384,1.6129,1.2698
1994-08-01,4.4586,7.1543,7.2715,-3.1746,1.2539
1994-09-01,3.2012,-2.7007,1.4848,-1.6393,2.4768
1994-10-01,5.613,1.7733,-2.6718,-6.6667,-0.3021
1994-11-01,-9.6503,-1.5909,1.5686,12.5,0.9091
1994-12-01,-2.6316,3.9261,2.7027,4.7619,0.9009
1995-01-01,-0.4769,-5.2593,-7.6441,3.0303,1.4881
1995-02-01,-10.7029,5.5512,8.6839,7.3529,1.4663
1995-03-01,10.1968,-3.7037,-4.3071,-6.8493,0.0
1995-04-01,0.8117,3.0769,2.9354,-1.4706,0.578
1995-05-01,8.5346,-0.0746,0.1267,-5.9701,0.2874
1995-06-01,7.5668,-0.1494,1.3924,-7.9365,-0.2865
