date,All Employees - Construction Period %,All Employees - Residential Building Period %,All Employees - Nonresidential Building Period %
2007-06-01,0.18,-0.11,1.17
2007-07-01,-0.35,-1.0,0.06
2007-08-01,-0.65,-1.29,-0.99
2007-09-01,-0.43,-0.59,1.3
2007-10-01,-0.16,-1.59,-0.05
2007-11-01,-0.56,-2.89,0.2
2007-12-01,-0.44,0.16,-0.06
2008-01-01,-0.19,-1.09,0.62
2008-02-01,-0.31,-1.36,0.33
2008-03-01,-0.63,-0.82,0.67
2008-04-01,-1.07,-1.46,-1.05
2008-05-01,-0.72,-1.61,-0.8
2008-06-01,-0.84,-1.9,-0.51
2008-07-01,-0.73,-1.47,0.29
2008-08-01,-0.64,-1.53,-0.07
2008-09-01,-0.98,-2.22,-1.41
2008-10-01,-1.09,-2.06,-0.64
2008-11-01,-2.21,-2.47,-1.49
2008-12-01,-1.64,-2.02,-0.29
2009-01-01,-2.0,-2.77,-1.82
2009-02-01,-1.84,-3.27,-1.8
2009-03-01,-2.4,-3.15,-2.11
2009-04-01,-2.18,-1.69,-2.19
2009-05-01,-0.88,-1.81,-0.38
2009-06-01,-1.48,-1.4,-1.69
2009-07-01,-1.3,-0.91,-1.62
2009-08-01,-1.3,-1.32,-1.03
2009-09-01,-1.16,-1.29,-1.4
2009-10-01,-1.23,-1.04,-1.24
2009-11-01,-0.35,-0.68,-0.75
2009-12-01,-0.74,-1.01,-1.81
2010-01-01,-1.31,-2.2,-1.44
2010-02-01,-1.43,-0.82,-1.57
2010-03-01,0.67,0.35,1.47
2010-04-01,0.29,-0.09,1.37
2010-05-01,-0.59,-0.29,-0.44
2010-06-01,-0.07,-0.16,-0.35
2010-07-01,-0.15,-1.21,0.02
2010-08-01,0.29,-0.26,-0.53
2010-09-01,-0.42,-0.12,-0.12
2010-10-01,0.13,-0.83,-0.35
2010-11-01,-0.04,-0.44,0.31
2010-12-01,-0.71,-0.2,-0.35
2011-01-01,-0.73,-0.5,-0.86
2011-02-01,0.44,0.38,-0.9
2011-03-01,0.48,0.61,1.17
2011-04-01,0.15,0.2,0.35
2011-05-01,0.57,-0.6,-0.09
2011-06-01,0.22,1.32,0.46
2011-07-01,0.34,-0.42,0.49
2011-08-01,0.09,-0.12,0.72
2011-09-01,0.58,0.21,1.24
2011-10-01,0.07,1.08,-0.72
